chr10	121200583	121300584	rs12779790	chr10	121178699	121178700	LINC01153	21884
chr11	17338024	17438025	rs5219	chr11	17351703	17351704	ENSG00000285545	0
chr11	17338024	17438025	rs5219	chr11	17351799	17351800	NCR3LG1	0
chr11	17338024	17438025	rs5219	chr11	17380648	17380649	ENSG00000260196	0
chr11	17338024	17438025	rs5219	chr11	17389331	17389332	KCNJ11	0
chr11	17338024	17438025	rs5219	chr11	17436181	17436182	SDHCP4	0
chr11	92925543	93025544	rs10830963	chr11	92937440	92937441	SNRPGP16	0
chr11	92925543	93025544	rs10830963	chr11	92965796	92965797	ENSG00000254874	0
chr11	92925543	93025544	rs10830963	chr11	92969650	92969651	MTNR1B	0
chr2	226178748	226278749	rs7172432	chr2	226185371	226185372	ENSG00000235070	0
chr6	20629477	20729478	rs7756992	chr6	20723655	20723656	RPL36AP25	0
chr8	117122543	117222544	rs13266634	chr8	117128454	117128455	ENSG00000253622	0
chr8	117122543	117222544	rs13266634	chr8	117163967	117163968	RN7SL826P	0
