SNP	Target_Gene	Variant_Type	Pathway	Modality
rs13266634	SLC30A8	Coding	Insulin Secretion	CRISPR knockout
rs12779790	TCF7L2	Non-coding	Beta-cell Regulation	CRISPRi
rs5219	KCNJ11	Coding	Insulin Secretion	CRISPR knockout
rs7903146	TCF7L2	Non-coding	Beta-cell Regulation	CRISPRi
rs4402960	IGF2BP2	Non-coding	Beta-cell Function	CRISPRi
rs7756992	CDKAL1	Non-coding	Insulin Secretion	CRISPRi
rs1801282	PPARG	Coding	Insulin Sensitivity	CRISPR knockout
rs10830963	MTNR1B	Non-coding	Metabolic Regulation	CRISPRi
rs7172432	IRS1	Non-coding	Insulin Signaling	CRISPRi
rs972283	KLF14	Non-coding	Metabolic Regulation	CRISPRi
