SNP	Gene	VariantType	EnhancerOverlap	Expression_TPM	Target_Clarity	Pathway	Genomic_Context	Regulatory_Evidence	Expression_Score	CAS	Modality
rs13266634	SLC30A8	Coding	1	202.3	2	Insulin Secretion	3	3	2	10	CRISPR knockout
rs12779790	TCF7L2	Non-coding	1	12.75	2	Beta-cell Regulation	2	3	2	9	CRISPRi
rs5219	KCNJ11	Coding	1	3.85	2	Insulin Secretion	3	3	1	9	CRISPR knockout
rs7903146	TCF7L2	Non-coding	1	12.75	2	Beta-cell Regulation	2	3	2	9	CRISPRi
rs4402960	IGF2BP2	Non-coding	1	5.8	2	Beta-cell Function	2	3	1	8	CRISPRi
rs7756992	CDKAL1	Non-coding	1	9.72	2	Insulin Secretion	2	3	1	8	CRISPRi
rs1801282	PPARG	Coding	0	1.2	2	Insulin Sensitivity	3	1	1	7	CRISPR knockout
rs10830963	MTNR1B	Non-coding	1	0.03	2	Metabolic Regulation	2	3	0	7	CRISPRi
rs7172432	IRS1	Non-coding	0	0.56	2	Insulin Signaling	1	1	0	4	CRISPRi
rs972283	KLF14	Non-coding	0	0.9	2	Metabolic Regulation	1	1	0	4	CRISPRi
