SNP	Gene	Genomic_Context	Regulatory_Evidence	Expression_Score	Target_Clarity	CAS	Priority_Tier	Modality	Pathway
rs13266634	SLC30A8	3	3	2	2	10	High Priority	CRISPR knockout	Insulin Secretion
rs12779790	TCF7L2	2	3	2	2	9	High Priority	CRISPRi	Beta-cell Regulation
rs5219	KCNJ11	3	3	1	2	9	High Priority	CRISPR knockout	Insulin Secretion
rs7903146	TCF7L2	2	3	2	2	9	High Priority	CRISPRi	Beta-cell Regulation
rs4402960	IGF2BP2	2	3	1	2	8	High Priority	CRISPRi	Beta-cell Function
rs7756992	CDKAL1	2	3	1	2	8	High Priority	CRISPRi	Insulin Secretion
rs1801282	PPARG	3	1	1	2	7	Moderate Priority	CRISPR knockout	Insulin Sensitivity
rs10830963	MTNR1B	2	3	0	2	7	Moderate Priority	CRISPRi	Metabolic Regulation
rs7172432	IRS1	1	1	0	2	4	Lower Priority	CRISPRi	Insulin Signaling
rs972283	KLF14	1	1	0	2	4	Lower Priority	CRISPRi	Metabolic Regulation
