SNP	Chromosome	Position_hg38	Variant_Type	Disease
rs10830963	chr11	92708710	Noncoding	Type 2 Diabetes
rs12779790	chr10	123010098	Noncoding	Type 2 Diabetes
rs13266634	chr8	118184783	Noncoding	Type 2 Diabetes
rs1801282	chr3	12351626	Coding	Type 2 Diabetes
rs4402960	chr3	185511687	Coding	Type 2 Diabetes
rs5219	chr11	17409572	Noncoding	Type 2 Diabetes
rs7172432	chr2	227093465	Noncoding	Type 2 Diabetes
rs7756992	chr6	20679709	Noncoding	Type 2 Diabetes
rs7903146	chr10	114758349	Noncoding	Type 2 Diabetes
rs972283	chr1	120517563	Noncoding	Type 2 Diabetes
